0	41	41.00	41.00
1	13	27.00	27.00
2	13	22.33	22.33
3	34	25.25	25.25
4	14	23.00	23.00
5	19	22.33	22.33
6	77	30.14	30.14
7	22	29.12	29.12
8	21	28.22	28.22
9	16	27.00	27.00
10	44	28.55	28.55
11	15	27.42	27.42
12	17	26.62	26.62
13	34	27.14	27.14
14	12	26.13	26.13
15	16	25.50	25.50
16	18	25.06	25.06
17	13	24.39	24.39
18	27	24.53	24.53
19	32	24.90	24.90
20	10	24.19	24.19
21	23	24.14	24.14
22	32	24.48	24.48
23	29	24.67	24.67
24	28	24.80	24.80
25	23	24.73	24.73
26	13	24.30	24.30
27	17	24.04	24.04
28	16	23.76	23.76
29	12	23.37	23.37
30	22	23.32	23.32
31	11	22.94	22.94
32	16	22.73	22.73
33	19	22.62	22.62
34	20	22.54	22.54
35	15	22.33	22.33
36	25	22.41	22.41
37	37	22.79	22.79
38	13	22.54	22.54
39	25	22.60	22.60
40	22	22.59	22.59
41	22	22.57	22.57
42	25	22.63	22.63
43	12	22.39	22.39
44	30	22.56	22.56
45	14	22.37	22.37
46	16	22.23	22.23
47	12	22.02	22.02
48	67	22.94	22.94
49	21	22.90	22.90
50	25	22.94	22.94
51	23	22.94	22.94
52	14	22.77	22.77
53	26	22.83	22.83
54	11	22.62	22.62
55	10	22.39	22.39
56	37	22.65	22.65
57	9	22.41	22.41
58	20	22.37	22.37
59	30	22.50	22.50
60	20	22.46	22.46
61	15	22.34	22.34
62	30	22.46	22.46
63	19	22.41	22.41
64	17	22.32	22.32
65	21	22.30	22.30
66	11	22.13	22.13
67	19	22.09	22.09
68	28	22.17	22.17
69	17	22.10	22.10
70	10	21.93	21.93
71	22	21.93	21.93
72	24	21.96	21.96
73	22	21.96	21.96
74	19	21.92	21.92
75	15	21.83	21.83
76	11	21.69	21.69
77	19	21.65	21.65
78	11	21.52	21.52
79	18	21.48	21.48
80	12	21.36	21.36
81	32	21.49	21.49
82	29	21.58	21.58
83	20	21.56	21.56
84	13	21.46	21.46
85	21	21.45	21.45
86	22	21.46	21.46
87	16	21.40	21.40
88	35	21.55	21.55
89	14	21.47	21.47
90	25	21.51	21.51
91	10	21.38	21.38
92	45	21.63	21.63
93	15	21.56	21.56
94	22	21.57	21.57
95	12	21.47	21.47
96	23	21.48	21.48
97	15	21.42	21.42
